"","Type","Part","p_val","cor.p","Mant_cor"
"1","Bacterial","Aboveground",0.45,0.517,0.0146541491841219
"2","Bacterial","Air",0.421,0.517,0.0146541491841219
"3","Bacterial","All",0.148,0.44,0.0449401475994193
"4","Bacterial","Axil",0.47,0.517,0.0434090437386584
"5","Bacterial","Belowground",0.311,0.517,0.0252727495196742
"6","Bacterial","Leaf",0.345,0.517,0.0235576962488735
"7","Bacterial","Litter",0.16,0.44,0.282224991826279
"8","Bacterial","Petiole",0.653,0.653,-0.124358971544516
"9","Bacterial","Root",0.002,0.022,0.476514555131732
"10","Bacterial","Soil",0.338,0.517,0.0252727495196742
"11","Bacterial","Stem",0.117,0.44,0.322725959464625
"12","Fungal","Aboveground",0.022,0.0377142857142857,0.424659382891513
"13","Fungal","Air",0.024,0.0377142857142857,0.424659382891513
"14","Fungal","All",0.002,0.022,0.251495238126354
"15","Fungal","Axil",0.597,0.597,-0.0969472122491105
"16","Fungal","Belowground",0.012,0.0377142857142857,0.691295132272667
"17","Fungal","Leaf",0.506,0.5566,-0.0342880698114376
"18","Fungal","Litter",0.023,0.0377142857142857,0.458680302026797
"19","Fungal","Petiole",0.016,0.0377142857142857,0.528172324396931
"20","Fungal","Root",0.042,0.05775,0.445327015853116
"21","Fungal","Soil",0.021,0.0377142857142857,0.691295132272667
"22","Fungal","Stem",0.08,0.0977777777777778,0.343944835255718
